shortcode,owner,comment,likes,text,location,post_likes,taken_at_timestamp
CCeqHFABjXr,sabora_1998,"America is on the verge of extinction👊👊
Trump, wait for the whole of America to catch fire✌
Qassem Soleimani's forces are coming you✌✌🇮🇷🇮🇷🇮🇷
You are a terrorist",0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,larosadominic,We allowed our country to be poisoned by things worse than drugs. Someone gonna make me prove tHat again and again and again.,1,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,larosadominic,In America the legal poison is handed out freely and is such a norm we dont even call iT poiison. I know its Socrates Hemlock bub,1,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,larosadominic,I got a whole Iron fist and more. I rule with it.  Iron Cross. BARS. I got bars 😂.,1,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,larosadominic,America got subverted out of a lot of poison distribution. So did a lot of others in the world. Surprised to I double value on everything and these losers all run back to pick less value bs back up. Talk about indoctrination causing brain damage. People are so poisoned in their minds theyre upside backwards like bAts. I fed China a bAt. I do things to yous out tHere that you wont ever be able to live down or live up to.  Did it on eM.  @nickiminaj never really did it on em. I did. Periodt.,1,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,hardkore5200,You don’t think Biden is tough and can defend the country too?,2,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,patti_k1982,You are the best Mr Trump!! Please don't be moved by stupid people remarks about you they are very Jealous of you because you have done great work  for America . I am so happy that you are the President . We had so much foolish people before then you came along and done a Fantastic job . Thank you so much I appreciate for what you have done for us American's . God Bless you. See you in 2020 again .. You go guy ! Trump 2020 !!!!!!,1,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,jojolavass,Great Leader,1,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,britneymuttbellydemi,burn in hell,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,hello__sky_,THE CUBANS LOVE YOU!❤️👍🇺🇸🇨🇺,2,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,lolaellithorpe_,ew,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,hello__sky_,🇺🇸,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,anita.uyen1303,I wish Donal Trump passed the next term. Best wish for you❤️,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,peadernaesmyth,Slippery for broken psychopaths.  Too bad uneducated ignorant right wing blue collar trumpers don't realized he is buffering them in their asss without lube.,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,faimaneduardo,@realdonaldtrump game over!!!! You lost,1,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,mohammad_136631,سپاس فراوان ❤️❤️,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,moslem_khayyat,💖Make love not war💖,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,blossomrs2020,i feel bad for all the hate u get just because you guys don't like him doesn't mean you need to hate on him he's a human too you guys are talking about how rude and how bad he is but you're just as bad if you think you can do better then do it stop sitting down in hating on him being a president isn't easy,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,raktim_riyan_saikia,❤️❤️,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,parabellumgeneticskc,💯💯💯💯,0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCfVImwhats,norcal_58,So far every order for Goya product ordered from Amazon has arrived damaged or what appears to be tampered with before it shipped. Cans are severely dented and jars were opened.  I am contacting the FDA.  Is seems like employees are tampering with and or damaging the product.,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,judy_leonard213,Trump 2020❤️❤️,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,shoeshoeny,Love Goya❤️,1, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,atkinsmimi,Ha ha ha,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,fearlessmdr,"Your sold out the White House and Presidency to the lowest bidder, congratulations.",0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,know_the_truth2020,❤️❤️❤️❤️❤️❤️❤️❤️ me too!!!,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,bonarperry,I Believe In by cots I'm buying products of theirs,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,tom.doran13,"Hahah this is great, soros is going to be pissed",0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,maristarzsdrama,Thank you Trump ! Stay Blessed. M⭐️⭐️D,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,drew.taylor.712,These are not Obama era child laws they are so slow but you know,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,im._.evey._.lynn,"This is illegal. Based off of US code 227, a White House employee can not endorse a product.",1, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,tedmabuhay,I bought some cans this weekend!,0, , ,1031093,2020-07-11 06:09:23
CCfVImwhats,love_and_freedom6,we need 4 more years！👏👏👏👏yes，that's it！🙏🙏🙏🙏,1, , ,1031093,2020-07-11 06:09:23
